CNPJ_CIA;TICKER;RAZAO_CVM
67.620.377/0001-14;BEEF3;MINERVA S.A.
02.387.241/0001-60;RAIL3;RUMO S.A.
60.872.504/0001-23;ITUB3;ITAU UNIBANCO HOLDING S.A.
60.872.504/0001-23;ITUB4;ITAU UNIBANCO HOLDING S.A.
56.720.428/0001-63;ROMI3;ROMI S.A.
22.266.175/0001-88;FHER3;FERTILIZANTES HERINGER S.A.
03.220.438/0001-73;EQTL3;EQUATORIAL ENERGIA S.A.
00.001.180/0001-26;AXIA3;AXIA ENERGIA S.A.
00.001.180/0001-26;AXIA6;AXIA ENERGIA S.A.
02.474.103/0001-19;EGIE3;ENGIE BRASIL ENERGIA S.A.
15.115.504/0001-24;CRPG3;TRONOX PIGMENTOS DO BRASIL S.A.
15.115.504/0001-24;CRPG5;TRONOX PIGMENTOS DO BRASIL S.A.
15.115.504/0001-24;CRPG6;TRONOX PIGMENTOS DO BRASIL S.A.
49.263.189/0001-02;HBOR3;HELBOR EMPREENDIMENTOS S.A.
61.486.650/0001-83;DASA3;DIAGNOSTICOS DA AMERICA S.A.
28.127.603/0001-78;BEES3;BANESTES S.A. - BCO EST ESPIRITO SANTO
28.127.603/0001-78;BEES4;BANESTES S.A. - BCO EST ESPIRITO SANTO
28.195.667/0001-06;ABCB4;BCO ABC BRASIL S.A.
08.560.444/0001-93;GPAR3;CIA CELG DE PARTICIPACOES - CELGPAR
58.119.199/0001-51;ODPV3;ODONTOPREV S.A.
33.000.167/0001-01;PETR3;PETROLEO BRASILEIRO S.A. PETROBRAS
33.000.167/0001-01;PETR4;PETROLEO BRASILEIRO S.A. PETROBRAS
92.781.335/0001-02;TASA3;TAURUS ARMAS S.A.
92.781.335/0001-02;TASA4;TAURUS ARMAS S.A.
00.000.000/0001-91;BBAS3;BCO BRASIL S.A.
02.950.811/0001-89;PDGR3;PDG REALTY S.A. EMPREEND E PARTICIPACOES
17.245.234/0001-00;CEDO3;CIA FIACAO TECIDOS CEDRO CACHOEIRA
17.245.234/0001-00;CEDO4;CIA FIACAO TECIDOS CEDRO CACHOEIRA
02.365.069/0001-44;PDTC3;PADTEC HOLDING S.A.
60.746.948/0001-12;BBDC3;BCO BRADESCO S.A.
60.746.948/0001-12;BBDC4;BCO BRADESCO S.A.
60.840.055/0001-31;FLRY3;FLEURY S.A.
03.853.896/0001-40;MBRF3;MARFRIG GLOBAL FOODS S.A.
07.816.890/0001-53;MULT3;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.
61.351.532/0001-68;AZEV3;AZEVEDO E TRAVASSOS S.A.
61.351.532/0001-68;AZEV4;AZEVEDO E TRAVASSOS S.A.
02.149.205/0001-69;PSSA3;PORTO SEGURO S.A.
02.193.750/0001-52;DEXP3;DEXXOS PARTICIPAÇÕES S.A.
02.193.750/0001-52;DEXP4;DEXXOS PARTICIPAÇÕES S.A.
61.065.298/0001-02;MGEL4;MANGELS INDUSTRIAL S.A.
02.351.144/0001-18;TGMA3;TEGMA GESTAO LOGISTICA S.A.
61.079.117/0001-05;ALPA3;ALPARGATAS S.A.
61.079.117/0001-05;ALPA4;ALPARGATAS S.A.
61.189.288/0001-89;AMAR3;MARISA LOJAS S.A.
02.932.074/0001-91;HYPE3;HYPERA S.A.
